neighbourhood,latitude,longitude,price,minimum_nights
Le Plateau-Mont-Royal,45.52526,-73.59073,60,5
Rosemont-La Petite-Patrie,45.56722,-73.577,99,2
Le Sud-Ouest,45.45912,-73.58618,66,2
Rosemont-La Petite-Patrie,45.56287,-73.58592,102,7
Le Plateau-Mont-Royal,45.5345,-73.5879,150,2
Rosemont-La Petite-Patrie,45.5685,-73.56257,425,1
Mercier-Hochelaga-Maisonneuve,45.58616,-73.56057,100,5
Le Plateau-Mont-Royal,45.51936,-73.58528,97,1
Le Plateau-Mont-Royal,45.52888,-73.58635,53,3
Rosemont-La Petite-Patrie,45.53512,-73.60581,165,4
Le Plateau-Mont-Royal,45.53451,-73.58753,75,5
Côte-des-Neiges-Notre-Dame-de-Grâce,45.46638,-73.62095,86,1
Rosemont-La Petite-Patrie,45.53952,-73.6095,112,10
Outremont,45.52031,-73.60267,145,6
Rosemont-La Petite-Patrie,45.54153,-73.60434,120,2
Ville-Marie,45.50449,-73.5625,359,2
Le Plateau-Mont-Royal,45.52263,-73.58003,160,3
Ville-Marie,45.49484,-73.58003,96,4
Mercier-Hochelaga-Maisonneuve,45.54628,-73.54997,90,2
Villeray-Saint-Michel-Parc-Extension,45.53887,-73.61758,135,2
Côte-des-Neiges-Notre-Dame-de-Grâce,45.48018,-73.61426,300,7
Ville-Marie,45.50876,-73.55246,164,1
Westmount,45.48476,-73.59076,120,4
Le Plateau-Mont-Royal,45.52565,-73.58423,233,2
Le Plateau-Mont-Royal,45.52396,-73.5838,233,2
Ville-Marie,45.51172,-73.55338,214,3
Le Plateau-Mont-Royal,45.51424,-73.5702,163,3
Le Plateau-Mont-Royal,45.52158,-73.58372,80,1
Ville-Marie,45.51046,-73.55474,246,3
Ville-Marie,45.51024,-73.55477,150,3
Le Plateau-Mont-Royal,45.53088,-73.58535,229,14
Le Plateau-Mont-Royal,45.51645,-73.57517,50,1
Ville-Marie,45.50814,-73.55333,191,2
Le Plateau-Mont-Royal,45.53088,-73.58675,186,7
Côte-des-Neiges-Notre-Dame-de-Grâce,45.49428,-73.61335,231,4
Côte-des-Neiges-Notre-Dame-de-Grâce,45.47387,-73.61359,175,4
Le Plateau-Mont-Royal,45.5192,-73.58444,40,1
Rosemont-La Petite-Patrie,45.53698,-73.61259,145,5
Rivière-des-Prairies-Pointe-aux-Trembles,45.66264,-73.54411,79,2
Ahuntsic-Cartierville,45.52825,-73.73077,278,1
Ville-Marie,45.51838,-73.55921,203,3
Villeray-Saint-Michel-Parc-Extension,45.56314,-73.59013,154,10
Villeray-Saint-Michel-Parc-Extension,45.5496,-73.60688,257,2
Villeray-Saint-Michel-Parc-Extension,45.56306,-73.59022,59,5
Le Plateau-Mont-Royal,45.51695,-73.56888,89,2
Villeray-Saint-Michel-Parc-Extension,45.56496,-73.58875,63,7
Villeray-Saint-Michel-Parc-Extension,45.565,-73.58916,61,7
Le Plateau-Mont-Royal,45.53088,-73.57879,145,2
Le Plateau-Mont-Royal,45.52301,-73.60195,50,1
Côte-des-Neiges-Notre-Dame-de-Grâce,45.49721,-73.63331,243,3
Le Plateau-Mont-Royal,45.53039,-73.57695,155,2
Le Plateau-Mont-Royal,45.52827,-73.57763,162,2
Pointe-Claire,45.43819,-73.81274,58,1
Le Plateau-Mont-Royal,45.52005,-73.58974,120,2
Le Plateau-Mont-Royal,45.51572,-73.56921,135,1
Le Plateau-Mont-Royal,45.53181,-73.5803,250,2
Ahuntsic-Cartierville,45.55479,-73.66718,124,4
Le Sud-Ouest,45.49164,-73.5746,157,5
Villeray-Saint-Michel-Parc-Extension,45.54473,-73.63025,200,6
Le Plateau-Mont-Royal,45.52198,-73.58012,428,3
Ville-Marie,45.51092,-73.56142,128,2
Le Plateau-Mont-Royal,45.51546,-73.58335,175,5
Le Plateau-Mont-Royal,45.52204,-73.58869,120,2
Rosemont-La Petite-Patrie,45.5337,-73.61278,125,2
Le Plateau-Mont-Royal,45.52077,-73.57021,121,2
Le Plateau-Mont-Royal,45.51895,-73.5924,97,1
Le Plateau-Mont-Royal,45.52573,-73.58385,233,2
Saint-Laurent,45.51107,-73.6716,57,7
Côte-des-Neiges-Notre-Dame-de-Grâce,45.47088,-73.64188,200,2
Le Plateau-Mont-Royal,45.51726,-73.57283,152,3
Côte-des-Neiges-Notre-Dame-de-Grâce,45.49247,-73.62723,165,7
Saint-Laurent,45.5272,-73.6963,75,2
Rosemont-La Petite-Patrie,45.54116,-73.6071,216,3
Le Plateau-Mont-Royal,45.51676,-73.58454,545,4
Le Plateau-Mont-Royal,45.52269,-73.5771,80,2
Saint-Laurent,45.50293,-73.68462,62,1
Ville-Marie,45.51091,-73.56098,153,2
Le Sud-Ouest,45.49716,-73.56162,104,2
Le Plateau-Mont-Royal,45.52021,-73.57217,179,2
Ville-Marie,45.52984,-73.56128,90,4
Côte-des-Neiges-Notre-Dame-de-Grâce,45.4941,-73.60927,88,3
Le Plateau-Mont-Royal,45.52611,-73.60427,100,10
Rosemont-La Petite-Patrie,45.53999,-73.60658,58,1
Villeray-Saint-Michel-Parc-Extension,45.53829,-73.61852,95,3
Le Plateau-Mont-Royal,45.51497,-73.57836,122,2
Ville-Marie,45.50703,-73.55124,128,1
Ville-Marie,45.49012,-73.5798,261,1
Ville-Marie,45.51751,-73.55605,350,1
Côte-des-Neiges-Notre-Dame-de-Grâce,45.46732,-73.63047,450,5
Rosemont-La Petite-Patrie,45.542385,-73.604347,196,14
Ville-Marie,45.51391,-73.55979,136,1
Villeray-Saint-Michel-Parc-Extension,45.53642,-73.62038,145,10
Le Plateau-Mont-Royal,45.52782,-73.59218,147,1
Le Plateau-Mont-Royal,45.52413,-73.586,233,2
Ville-Marie,45.50536,-73.56337,266,2
Le Plateau-Mont-Royal,45.52862,-73.58235,250,4
Mercier-Hochelaga-Maisonneuve,45.57343,-73.54337,80,3
Rosemont-La Petite-Patrie,45.53451,-73.59616,89,5
Ahuntsic-Cartierville,45.55382,-73.65393,47,5
Rosemont-La Petite-Patrie,45.53989,-73.59995,149,1
Ville-Marie,45.50769,-73.56964,107,6
Côte-des-Neiges-Notre-Dame-de-Grâce,45.46712,-73.6108,149,2
Villeray-Saint-Michel-Parc-Extension,45.53524,-73.61746,75,2
Côte-des-Neiges-Notre-Dame-de-Grâce,45.46013,-73.63491,78,4
Le Plateau-Mont-Royal,45.53417,-73.58316,239,3
Le Plateau-Mont-Royal,45.52928,-73.59071,215,3
Ville-Marie,45.49223,-73.58506,175,4
Ville-Marie,45.51538,-73.56598,100,3
Le Plateau-Mont-Royal,45.52134,-73.58678,175,4
Villeray-Saint-Michel-Parc-Extension,45.57481,-73.63047,69,1
Ville-Marie,45.51051,-73.55873,175,2
Rosemont-La Petite-Patrie,45.5538,-73.57119,40,3
Rosemont-La Petite-Patrie,45.55695,-73.57194,225,7
Rosemont-La Petite-Patrie,45.53141,-73.61029,20,1
Saint-Laurent,45.50911,-73.66983,60,7
Mercier-Hochelaga-Maisonneuve,45.55825,-73.53093,746,2
Le Plateau-Mont-Royal,45.5126,-73.57485,199,2
Ville-Marie,45.49128,-73.57939,160,5
Ville-Marie,45.52772,-73.54849,350,7
Ville-Marie,45.53808,-73.55823,77,1
Ville-Marie,45.50526,-73.56913,126,4
Verdun,45.45967864990234,-73.57390594482422,50,3
Le Plateau-Mont-Royal,45.51572,-73.56904,135,1
Ville-Marie,45.50363,-73.55745,142,1
Ville-Marie,45.50971,-73.55458,191,3
Ville-Marie,45.50534,-73.5563,214,3
Villeray-Saint-Michel-Parc-Extension,45.53886,-73.62266,39,2
Le Plateau-Mont-Royal,45.51859,-73.57724,120,5
Ville-Marie,45.50769,-73.56964,121,6
LaSalle,45.43049,-73.66345,77,7
Villeray-Saint-Michel-Parc-Extension,45.55374,-73.60004,115,7
Rosemont-La Petite-Patrie,45.54129,-73.58456,70,5
Villeray-Saint-Michel-Parc-Extension,45.5399,-73.61437,70,7
Le Plateau-Mont-Royal,45.52884,-73.58085,88,2
Le Plateau-Mont-Royal,45.52614,-73.58255,300,10
Le Plateau-Mont-Royal,45.53192,-73.56313,165,3
Le Plateau-Mont-Royal,45.53464,-73.57172,120,1
Le Plateau-Mont-Royal,45.51663,-73.56809,193,2
Côte-des-Neiges-Notre-Dame-de-Grâce,45.47492,-73.60552,70,2
Verdun,45.4601,-73.57036,186,1
Villeray-Saint-Michel-Parc-Extension,45.52733,-73.62659,86,2
Saint-Laurent,45.51914,-73.69517,35,3
Ville-Marie,45.53016,-73.55351,159,1
Verdun,45.45838,-73.5675,72,4
Ahuntsic-Cartierville,45.55761,-73.66219,50,2
Ville-Marie,45.49653,-73.5562,200,2
Le Plateau-Mont-Royal,45.52682,-73.58061,254,3
Verdun,45.46329,-73.57619,150,2
Le Plateau-Mont-Royal,45.52348,-73.60375,56,1
Ville-Marie,45.52699,-73.55748,73,1
Kirkland,45.44892,-73.85871,96,7
Le Plateau-Mont-Royal,45.52401,-73.59447,70,2
Côte-des-Neiges-Notre-Dame-de-Grâce,45.4757,-73.63015,90,3
Ville-Marie,45.50503,-73.56928,120,2
Le Plateau-Mont-Royal,45.52225,-73.57424,131,1
Ville-Marie,45.5237,-73.55164,95,2
Le Plateau-Mont-Royal,45.522278,-73.574219,114,1
Le Plateau-Mont-Royal,45.522278,-73.574219,121,1
Mont-Royal,45.52136,-73.63046,250,2
Le Plateau-Mont-Royal,45.52228,-73.57422,119,1
Ville-Marie,45.51362,-73.55653,101,2
Le Plateau-Mont-Royal,45.52228,-73.57422,121,1
Verdun,45.44948,-73.56071,200,1
Le Plateau-Mont-Royal,45.5119,-73.5718,449,2
Le Plateau-Mont-Royal,45.52022,-73.57932,63,2
Le Plateau-Mont-Royal,45.53636,-73.57622,75,2
Côte-des-Neiges-Notre-Dame-de-Grâce,45.49551,-73.6093,300,2
Le Sud-Ouest,45.49307,-73.56345,90,3
Pointe-Claire,45.44158,-73.81036,160,3
Le Plateau-Mont-Royal,45.52228,-73.57422,101,1
Rosemont-La Petite-Patrie,45.53167,-73.60258,20,1
Saint-Laurent,45.52117,-73.67952,31,1
Rosemont-La Petite-Patrie,45.53626,-73.60815,93,7
Le Plateau-Mont-Royal,45.52721,-73.57358,30,1
Ville-Marie,45.52292,-73.55857,30,1
Côte-des-Neiges-Notre-Dame-de-Grâce,45.46968,-73.61003,125,3
Le Plateau-Mont-Royal,45.51929,-73.59409,85,3
Mercier-Hochelaga-Maisonneuve,45.56992,-73.52616,118,2
Le Plateau-Mont-Royal,45.51972,-73.58795,45,1
Ville-Marie,45.51488,-73.55615,395,4
Côte-des-Neiges-Notre-Dame-de-Grâce,45.47197,-73.61899,375,4
Ville-Marie,45.51851,-73.55468,174,2
Mercier-Hochelaga-Maisonneuve,45.57649,-73.55099,150,5
Rosemont-La Petite-Patrie,45.53736,-73.61067,27,10
Rosemont-La Petite-Patrie,45.54272,-73.60596,80,3
Le Plateau-Mont-Royal,45.53237,-73.57564,99,2
Rosemont-La Petite-Patrie,45.53071,-73.60546,80,5
Le Plateau-Mont-Royal,45.53407,-73.5764,175,2
Le Plateau-Mont-Royal,45.5241,-73.57744,166,4
Rosemont-La Petite-Patrie,45.53738,-73.59191,120,10
Ville-Marie,45.52413,-73.56263,125,6
Le Plateau-Mont-Royal,45.51839,-73.57497,30,1
Villeray-Saint-Michel-Parc-Extension,45.55491,-73.59886,450,2
Ville-Marie,45.5007,-73.56805,40,2
Le Plateau-Mont-Royal,45.52853,-73.56772,32,1
Ville-Marie,45.50359,-73.55917,71,2
Le Plateau-Mont-Royal,45.52134,-73.58317,72,3
