id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15164474,"large  3 1/2 , 1 bedroom+1 sofa bed in living area",22299469,Louise,,Rosemont-La Petite-Patrie,45.54516,-73.59232,Entire home/apt,55,32,36,2019-10-19,0.48,8,360,0,
15874208,"Au cœur du Mile-end,2 chambres, lumineux",2180166,Claudine,,Le Plateau-Mont-Royal,45.52572,-73.60248,Entire home/apt,195,5,36,2022-11-25,0.54,1,56,10,306607
15178067,"Cozy 1 bedroom at Vendome Metro, Glen Hospital",83791200,Walid,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47356,-73.60918,Entire home/apt,85,31,14,2022-11-19,0.19,2,364,3,
15882143,That room,60199738,Mathieu,,Ville-Marie,45.50634,-73.55555,Private room,200,1,0,,,1,0,0,
14650117,Cozy Bedroom in Le Plateau,45937324,Lucia,,Le Plateau-Mont-Royal,45.51508,-73.57561,Private room,35,1,1,2016-08-21,0.01,1,0,0,
14669422,❤ La Peaceful and Cozy Petite Patrie (Rosemont) ❤,1098777,Lisa,,Rosemont-La Petite-Patrie,45.53448,-73.59435,Entire home/apt,59,32,30,2022-10-28,0.39,2,66,4,
15202605,Luxurious 2BR Centre Bell Tour des Canadiens Condo,15562599,Shlomy,,Ville-Marie,45.49699,-73.57167,Entire home/apt,185,30,78,2021-04-24,1.08,1,0,0,
14679290,3 bed rooms in my house of montreal,24973952,Qiang,,Lachine,45.43944,-73.70235,Entire home/apt,156,1,142,2022-12-03,1.85,3,328,32,300392
15884809,Very Nice Full Apartment in Montréal,37996469,Alexandre,,Villeray-Saint-Michel-Parc-Extension,45.54778,-73.60231,Entire home/apt,85,1,0,,,1,0,0,
15886736,Cute appartment at 2 minutes from the metro !,78459162,Gabrielle,,Mercier-Hochelaga-Maisonneuve,45.54498,-73.5515,Entire home/apt,21,3,3,2016-12-19,0.04,1,0,0,
15206517,Magnifique 4 1/2,96587026,Philippe,,Rosemont-La Petite-Patrie,45.54132,-73.59388,Entire home/apt,250,1,1,2018-09-02,0.02,1,0,0,
14689685,Cosy apartment in the heart of a beautiful area,24601484,Ekaterina,,Le Plateau-Mont-Royal,45.53542,-73.58682,Entire home/apt,90,1,5,2018-08-05,0.07,1,42,0,
15223634,Cozy condo downtown Montréal,33899897,Karam,,Ville-Marie,45.49344,-73.58101,Entire home/apt,250,15,5,2017-06-01,0.07,1,364,0,
14711440,Chambre confortable près du métro H-Bourassa,12858048,Michele,,Ahuntsic-Cartierville,45.55846,-73.66331,Private room,30,32,2,2022-11-09,0.03,2,251,1,
14731876,Appartement Montréalais typique et bien situé,50404512,Noé,,Ville-Marie,45.52366,-73.56457,Private room,45,1,6,2017-09-15,0.08,1,0,0,
15903751,"★★★★★ Downtown Pure Loft  / Pool, Gym & Terrace
PARKING INDOOR",102550362,Adel,,Ville-Marie,45.50021,-73.55876,Entire home/apt,139,2,299,2022-11-25,4.08,4,236,67,
15230085,Great View Loft,56274119,Julien,,Ville-Marie,45.50009,-73.5572,Entire home/apt,153,2,120,2022-11-27,1.60,3,75,22,
15917834,Studio right in the middle of the Quartier latin,103050764,Patrick,,Ville-Marie,45.51671,-73.56519,Entire home/apt,27,90,7,2019-12-18,0.10,1,245,0,
14732540,Executive 3 1/2 Condo Bois-Franc near all services,91748523,Robert,,Saint-Laurent,45.50998,-73.69654,Entire home/apt,95,90,13,2021-11-01,0.17,2,90,0,
15239001,"Downtown and Old Montreal (Buses, Metro, Nature)",96884860,Antoine,,Le Sud-Ouest,45.49442,-73.55908,Entire home/apt,90,30,1,2018-06-07,0.02,1,0,0,
15251147,Apartment Therapy Bohostyle,12064477,Noire,,Ville-Marie,45.53169,-73.55309,Entire home/apt,80,2,1,2016-10-11,0.01,1,0,0,
15931139,Apartment In a Prime Location Downtown Griffintown,34405657,Christy,,Le Sud-Ouest,45.49346168412231,-73.55892240559794,Entire home/apt,146,3,75,2022-08-03,1.03,2,23,1,
15256244,NEW Tour Des Canadiens Montreal Condo 44th Floor,7595127,Diana,,Ville-Marie,45.49502,-73.57178,Entire home/apt,90,31,2,2021-03-31,0.05,2,197,0,
15936859,Lovely bedroom downtown Montréal (cat lovers only),12161596,Erika,,Le Plateau-Mont-Royal,45.50922,-73.57408,Private room,59,32,25,2022-12-06,0.37,2,248,4,
14740800,Central place with PRIVATE ENTRANCE near BerriUqam,91829654,Carol,,Ville-Marie,45.51525,-73.55637,Private room,70,32,66,2022-08-31,0.86,1,13,1,
15257638,All furnished room to rent,52251113,Beder,,Villeray-Saint-Michel-Parc-Extension,45.56851,-73.61704,Private room,54,1,4,2017-09-02,0.06,1,0,0,
14743441,Charming 2 bedrooms with terrace & private parking,91858852,Nathalie,,Ville-Marie,45.52341842651367,-73.5561752319336,Entire home/apt,250,32,133,2022-07-27,1.74,2,360,1,
15265481,Magnificent apartment,26210918,Yaneisy,,Mercier-Hochelaga-Maisonneuve,45.5439,-73.53739,Entire home/apt,145,3,209,2022-10-29,2.77,2,305,29,
14747883,Luxury Loft in The Heart of Downtown Montreal!,16221480,Mourad,,Ville-Marie,45.50545,-73.56618,Entire home/apt,75,33,18,2022-09-15,0.24,2,357,4,
15265719,Appartement chaleureux en plein coeur du mile end,93333231,Mi-Mi,,Le Plateau-Mont-Royal,45.52527,-73.60538,Entire home/apt,65,4,21,2020-08-24,0.28,2,0,0,
15943458,"Vintage room 10min to Metro, Glen site, CUSM",103493009,Frederick,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46721,-73.60735,Private room,32,1,159,2022-11-30,2.19,3,74,47,295173
15272723,The View from the top,15935760,Erol & Jay,,Le Plateau-Mont-Royal,45.50771,-73.57411,Entire home/apt,87,32,279,2022-10-03,3.69,17,79,13,
15943857,"Bright room 10min to Metro, Glen, CUSM hospital",103493009,Frederick,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46954,-73.6089,Private room,46,1,151,2022-11-20,2.07,3,74,41,295173
15285915,Downtown Montreal Fully furnished apartment WIFI,72761895,Samuel,,Ville-Marie,45.49681,-73.58255,Entire home/apt,24,32,10,2022-08-22,0.14,70,365,3,
14748889,Charmant et Grand 3.5 | Plateau-Rosemont,6487770,Olivier,,Rosemont-La Petite-Patrie,45.542,-73.57865,Entire home/apt,40,1,5,2016-09-05,0.07,1,0,0,
15294914,Apt at the heart of the down town,90722232,Ousama,,Le Sud-Ouest,45.49096,-73.57486,Entire home/apt,115,1,1,2016-10-30,0.01,1,341,0,
14755965,Industrial and Modern style -  down town (1),32760952,Lise,,Ville-Marie,45.50558,-73.56289,Entire home/apt,87,30,18,2022-09-01,0.24,4,221,2,
15950348,"Luxurious condo w Balcony,  Downtown Montreal",1799333,Tia,,Ville-Marie,45.49522,-73.5717,Entire home/apt,88,30,50,2022-10-12,0.69,1,364,3,
15956335,En plein coeur du centre-ville de Montréal!,84740666,Maude,,Ville-Marie,45.52876,-73.54643,Private room,29,1,0,,,1,0,0,
15296528,Chambre privée côte,97388347,Marie,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49887,-73.6213,Private room,49,1,3,2017-03-13,0.04,1,0,0,
15956356,Le Mont-Royal,103607205,Remi Et Marie,,Le Plateau-Mont-Royal,45.52269,-73.58417,Entire home/apt,199,3,201,2022-11-26,2.85,2,257,40,
14756007,Warmful apt. in the heart of Le Plateau,9018273,Pascale,,Le Plateau-Mont-Royal,45.53824,-73.58064,Entire home/apt,85,30,13,2022-07-30,0.20,1,123,1,
14757037,"Plateau Mont-Royal, Le Davide",73990969,Maya,,Le Plateau-Mont-Royal,45.53082,-73.5661,Entire home/apt,66,31,8,2022-10-30,0.11,10,237,5,
15308903,Modern 1 Bedroom Apartment Downtown,97507102,Marianne,,Ville-Marie,45.50426,-73.57842,Entire home/apt,117,2,21,2019-08-06,0.28,1,0,0,
14759357,Le repos,88316415,Thomas,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48568,-73.64051,Entire home/apt,1324,4,0,,,1,0,0,
15312219,3 1/2 CONDO DE PRESTIGE TDC 1  stationnement inc.,97539862,Denis,,Ville-Marie,45.49502,-73.57047,Entire home/apt,69,31,32,2019-08-12,0.46,1,136,0,
14768962,A large apartment on Homa,6785372,Yohan,,Mercier-Hochelaga-Maisonneuve,45.54232,-73.54917,Entire home/apt,103,2,136,2022-12-02,1.78,3,349,23,
15972333,Luxueux appartement de style contemporain,98056118,Normand,,Le Sud-Ouest,45.47541,-73.56447,Entire home/apt,65,90,0,,,1,90,0,
15318889,"Victoria Village, cosy LOFT Westmount A1 Loc.",85388582,M.,,Westmount,45.47832,-73.60158,Entire home/apt,125,30,11,2021-12-22,0.15,2,365,1,
15982945,CHAMBRE en plein coeur du plateau,9700672,Riad,,Le Plateau-Mont-Royal,45.53193,-73.56533,Private room,65,1,9,2021-08-31,0.14,1,74,0,
14788832,Spacious and homey one bedroom apartment,731589,Naghmeh,,Rosemont-La Petite-Patrie,45.5421,-73.58743,Entire home/apt,43,1,11,2016-12-28,0.14,1,0,0,
15326391,"appartement RDC - prime spot, quiet first floor",9482285,Martine,,Le Plateau-Mont-Royal,45.53398,-73.57627,Entire home/apt,160,31,3,2017-12-09,0.04,2,0,0,
14789520,Centrally located stylish central apartment,5019451,Aymen,,Ville-Marie,45.49858,-73.58257,Entire home/apt,90,2,16,2017-07-04,0.21,1,0,0,
15988971,"Sunny 2 bdr Private Patio, Near Metro Wifi & view",14560046,Maité & Simon,,Mercier-Hochelaga-Maisonneuve,45.55333,-73.55071,Entire home/apt,108,1,173,2022-11-27,2.34,6,315,37,
15328865,Cozy room in downtown Montreal,81678417,Marc-Etienne,,Ville-Marie,45.51553,-73.56408,Private room,40,3,4,2018-08-05,0.05,3,0,0,
15338264,Le Citadin: THE BEST of Montreal,24787258,Christine,,Rosemont-La Petite-Patrie,45.53612,-73.61447,Entire home/apt,149,7,30,2022-10-08,0.40,1,216,4,
15989741,luxurious apartment in DT over looking mont-royal,103911080,Youyi,,Ville-Marie,45.50219,-73.57779,Private room,70,1,1,2016-11-23,0.01,1,0,0,
16004299,Chambre avec vue sur le Parc du Mont-Royal,14271103,Andrea,,Le Plateau-Mont-Royal,45.51908,-73.58721,Private room,150,3,9,2017-04-26,0.13,3,0,0,
14796632,Sympathique 3 1/2 dans Villeray,56046255,Anne-Julie,,Villeray-Saint-Michel-Parc-Extension,45.5365,-73.62338,Entire home/apt,95,3,3,2022-10-23,0.79,1,42,3,
15344178,Modern appt (top floor) - Plateau Mont Royal,604849,Martin,,Le Plateau-Mont-Royal,45.5345,-73.573097,Entire home/apt,150,2,219,2022-03-07,2.94,3,0,16,
14810095,Montreal Heart DT the Most Valuable Studio,67372468,Tom,,Le Plateau-Mont-Royal,45.50771,-73.57534,Entire home/apt,1000,1,64,2022-06-19,0.84,1,180,1,
15351614,Chambre chaleureuse en plein coeur du Mile End,93333231,Mi-Mi,,Le Plateau-Mont-Royal,45.52627,-73.60715,Private room,35,7,2,2019-06-16,0.03,2,0,0,
14817543,"Spacious room, 20mn downtown, kingSize bed",92620793,Momar,,Le Sud-Ouest,45.45418,-73.59777,Private room,60,1,7,2019-05-22,0.11,1,0,0,
16005148,"Good location, Close to everything,  Super appart",63105914,Judith,,Rosemont-La Petite-Patrie,45.54851,-73.57562,Entire home/apt,60,8,13,2022-08-21,0.19,1,0,3,
15357145,Downtown Montreal Fully furnished apartment WIFI,72761895,Samuel,,Ville-Marie,45.49682,-73.58248,Entire home/apt,75,32,17,2022-10-28,0.23,70,240,5,
16011685,"Beautiful house, parking + terrace , Old Rosemont",95196800,Christian & Claudine,,Rosemont-La Petite-Patrie,45.55045,-73.58035,Entire home/apt,165,4,20,2022-07-30,0.28,1,0,4,305889
